Name,Price,Cpu,ScreenResolution,Ram,Memory,Gpu,OpSys,Weight
Asus ProArt Studio book H5600QM 16 inch 4K OLED Display Ryzen 9 5900HX 32GB RAM 1TB SSD Gaming Laptop with 3060 6GB Graphics,"302,000 bdt",AMD Ryzen 9 5900HX,16 Inch 3840 x 2400 ,32GB DDR4 3200 MHZ SO-DIMM,1TB,Nvidia RTX 3060 Graphics,Windows 11,2.40 kg
ASUS ZENBOOK S 13 13.3 INCH OLED DISPLAY RYZEN 7 6800U 16GB RAM 1TB SSD LAPTOP,"155,990 bdt",AMD Ryzen 7 6800U,13.3-inch OLED 2.8K (2880 x 1800) 60H,16GB (on board) LPDDR5,1TB ,AMD Radeon Graphics,Windows 11,1.10 kg
ASUS ZENBOOK FLIP 14 OLED UM3402YA 14.0-INCH DISPLAY RYZEN 5 5625U 16GB RAM 512GB SSD LAPTOP,"129,500 bdt",AMD Ryzen 5 5625U,AMD Radeon Graphics,LPDDR4X 16GB,512GB M.2 NVMe PCIe 3.0 SSD,AMD Radeon Graphics,,1.40 kg
ASUS ZENBOOK 14 OLED UM3402YA 14.0-INCH DISPLAY RYZEN 7 5825U 16GB RAM 512GB SSD LAPTOP,"139,500 bdt",RYZEN 7 5825U,14.0-Inch   (2880 x 1800),LPDDR4X 16GB,512GB M.2 NVMe PCIe 3.0 SSD,AMD Radeon Graphics,"63WHrs, 3S1P, 3-cell Li-ion",1.40 kg
ASUS ROG GX800VH 18.4 INCH UHD DISPLAY CORE I7 7TH GEN 64GB RAM 1.5TB SSD LAPTOP WITH 16GB GRAPHICS,"410,000 bdt","Intel Core i7 7820HK Processor (8M Cache, 2.90 GHz up to 3.90 GHz)",18.4 Inch (16:9) LED backlit UHD (3840x2160) Anti-Glare Panel with 100% Adobe with G-Sync,64GB ,1536GB SSD (512 X 3),NVIDIA GeForce GTX 1080 SLI with 16GB VRAM,Windows 10 Pro,5.7kg
Asus TUF Gaming A15 FA507RE 15.6 inch FHD 144Hz Display Ryzen 7 6800H 16GB DDR5 RAM 512GB SSD Gaming Laptop with RTX 3050 Ti 4GB Graphics,"180,000 bdt",AMD Ryzen 7 6800H,FHD (1920 x 1080),16GB ,512GB M.2 NVMe PCIe 3.0 SSD,"NVIDIA GeForce RTX 3050 Ti Laptop GPU, 1745MHz* at 95W (1695MHz Boost Clock+50MHz OC, 80W+15W Dynamic Boost), 4GB GDDR6",Windows 11,2.20 kg
ASUS ExpertBook B3 Flip B3402FEA 14 inch Full HD Touch Display Core i5 11th Gen 8GB RAM 512GB SSD 2 in 1 Laptop,"89,000 bdt","Intel Core i5-1135G7 8M Cache, up to 4.20 GHz Processor","Touch screen, 14.0-inch, LCD, FHD (1920 x 1080) 16:9, Wide view, Glossy display, LED Backlit, 400nits, sRGB: 100%",8GB,512GB M.2 NVMe PCIe 3.0 SSD,Intel Iris Xe Graphics,Free-DOS,1.73
ASUS ExpertBook B3 Flip B3402FEA 14 inch FHD Touch Display Core i5 11th Gen 16GB RAM 512GB SSD 2 in 1 Laptop,"93,500 bdt","Top case-material Aluminum, US MIL-STD 810H military-grade standard",Intel Iris Xe Graphics,16GB 3200MHz DDR4,512GB M.2 NVMe PCIe 3.0 SSD (Storage Upgradeable Up To 2TB),Intel Iris Xe Graphics,Free-DOS,1.73
Asus ExpertBook BR1100FK 11.6 inch HD Touch Display Intel Celeron N4500 8GB RAM 512GB SSD 2 in 1 Laptop With Active Pen,"60,500 bdt","Fiber Body, Ultra Strong Specially For Kids",Intel UHD Graphics,"8GB 3200MHZ DDR4 onboard, 
Memory Max Up to:16GB",512GB M.2 NVMe PCIe 3.0 SSD,Intel Iris Xe Graphics,Free-DOS,1.73
Lenovo Legion 5i Pro 16ITH6H 16 inch WQXGA 165Hz Display Core i7 11th Gen 16GB RAM 1TB SSD Gaming Laptop with RTX 3070 8GB Graphics,"253,000 bdt",Intel Core  i7, ,16GB 2x 8GB SO-DIMM DDR4-3200,1TB SSD M.2 2280 PCIe 4.0x4 NVMe,NVIDIA GeForce RTX 3070,Windows 11,2.3 kg
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
