Name,Price,Cpu,ScreenResolution,Ram,Memory,Gpu,OpSys,Weight
"HP 15s-du3611TU Core i3 11th Gen 15.6"" FHD Laptop","58,090৳",Intel Core i3-1125G4 ,"15.6 Inch FHD (1920 x 1080) Display FeaturesMicro-edge 
Anti-glare 
250 nits 
45% NTSC ",4GB(1X4GBREMOVABLE) ,SATA HDD 1 TB ,Intel UHD Graphics Shared ,Windows 11 Home ,Black 35.85 x 24.2 x 1.99 cm 1.75 kg 
"HP 250 G8 Core i3 11th Gen 15.6"" FHD Laptop","62,430৳",Intel Core i3-1115G4 ,"15.6 Inch IPS FHD (1920 x 1080) Display FeaturesAnti-Glare WLED 
250nits 
eDP micro-edge 
45% NTSC ",1X8GBREMOVABLE ,SATA HDD 1TB ,Intel UHD Graphics Shared ,Windows 10 Home ,Black 32.41 x 22.58 x 1.98 cm 1.47 kg 
"HP 15s-eq2171AU Ryzen 3 5300U 15.6"" FHD Laptop","64,600৳",AMD Ryzen 3 5300U ,"15.6 Inch FHD (1920 x 1080) Touch ScreenNo Display Featuresmicro-edge, anti-glare, 250 nits, 45% NTSC ",8GB(2X4GB) ,PCIe NVMe M.2 SSD 512 GB ,AMD Radeon Graphics Shared ,Windows 11 Home ,Spruce Blue 35.85 x 24.2 x 1.79 cm 1.69 kg 
"HP 15s-fq5486TU Core i3 12th Gen 15.6"" FHD Laptop","62,970৳",Intel Core i3-1215U ,"15.6 Inch IPS FHD (1920 x 1080) Display FeaturesMicro-edge 
Anti-glare 
250 nits 
45% NTSC ",1X4GBREMOVABLE ,PCIe NVMe M.2 SSD 256 GB ,Intel UHD Graphics Shared ,Windows 11 Home ,Black 35.85 x 24.2 x 1.79 cm Starting at 1.7 kg 
"HP 15s-fq5487TU Core i3 12th Gen 15.6"" FHD Laptop","67,310৳",Intel Core i3-1215U ,"15.6 Inch IPS FHD (1920 x 1080) Display FeaturesMicro-edge 
Anti-glare 
250 nits 
45% NTSC ",8GB ,PCIe NVMe M.2 SSD 256 GB ,Intel UHD Graphics Shared ,Windows 11 Home ,Silver 35.85 x 24.2 x 1.79 cm Starting at 1.7 kg 
"HP 15s-fq5786TU Core i3 12th Gen 15.6"" FHD Laptop","69,480৳",Intel Core i3-1215U ,"15.6 Inch IPS FHD (1920 x 1080) Display FeaturesMicro-edge
 Anti-glare 
250 nits 
45% NTSC ",1X8GBREMOVABLE ,PCIe NVMe M.2 SSD 512 GB ,Intel UHD Graphics Shared ,Windows 11 Home ,Silver 35.85 x 24.2 x 1.79 cm Starting at 1.7 kg 
"HP 15s-eq2690AU Ryzen 5 5500U 15.6"" FHD Laptop","72,740৳",AMD Ryzen 5 5500U ,"15.6"" FHD (1920 x 1080) Display FeaturesMicro-edge, 
Anti-glare 
250 nits 
45% NTSC Display ",8GBSD(2X4GB) ,PCIe NVMe SSD 512 GB ,AMD Radeon Graphics Shared ,Windows 10 Home ,Silver 35.85 x 24.2 x 1.79 cm 1.69 kg 
"HP 15s-du3561TU Core i5 11th Gen 15.6"" FHD Laptop","74,370৳",Intel Core i5-1135G7 ,"15.6 Inch FHD (1920 x 1080) Display FeaturesMicro-edge 
Anti-glare 
250 nits 
45% NTSC ",8GB(2X4GB) , SATA HDD 1 TB ,Intel Iris Xᵉ Graphics Shared ,Windows 11 Home Other Pre-installed SoftwaresMicrosoft Office Home & Student ,Silver 35.85 x 24.2 x 1.79 cm Starting at 1.7 kg 
"HP 15s-eq3234AU Ryzen 5 5625U 15.6"" FHD Laptop","74,370৳",AMD Ryzen 5 5625U ,"15.6"" diagonal. IPS FHD (1920 x 1080) Display FeaturesMicro-edge
Anti-glare
250 nits 
45% NTSC Display ",8GB(4GBX2) ,PCIe NVMe M.2 SSD 512 GB ,AMD Radeon Graphics Shared ,Windows 11 Home Other Pre-installed SoftwaresMS Office ,35.85 x 24.2 x 1.79 cm Starting at 1.7 kg 
"HP 14s-dq5445TU Core i5 12th Gen 14"" FHD Laptop","81,960৳",Intel Core i5-1235U ,"14 Inch IPS FHD (1920 x 1080) Display FeaturesMicro-edge 
BrightView 
250 nits 
45% NTSC Display ",8GB(4GBX2) ,PCIe NVMe M.2 SSD 512GB ,Intel Iris Xe Graphics Shared ,Windows 11 Home Other Pre-installed SoftwaresMicrosoft Office Home & Student ,Silver 32.4 x 22.5 x 1.79 cm 1.47kg 
"HP 15s-du3039TX Core i5 11th Gen MX450 2GB Graphics 15.6"" FHD Laptop","83,590৳",Intel Core i5-1135G7 ,"15.6 FHD (1920 x 1080) Touch ScreenNo Display Features diagonal, micro-edge, anti-glare, 250 nits, 45% NTSC ",8GB(2X4GB) ,SATA HDD 1TB ,Nvidia MX450 Graphics 2GB ,Windows 10 Home 64 Other Pre-installed SoftwaresMicrosoft Office Home & Student ,Silver 35.85 x 24.2 x 1.99 cm Starting at 1.75 kg 
"HP 15s-eq2335AU Ryzen 7 5700U 15.6"" FHD Laptop","84,670৳",AMD Ryzen 7 5700U ,"15.6 Inch FHD (1920 x 1080) Display FeaturesMicro-edge, 
Anti-glare
250 nits 
45% NTSC ",8GB(1X8GB) ,PCIe NVMe M.2 SSD 512 GB ,AMD Radeon Graphics Shared ,Windows 11 Home ,Spruce Blue 35.85 x 24.2 x 1.79 cm 1.69 kg 
"HP ProBook 440 G8 Core i5 11th Gen 14"" HD Laptop","93,300৳",Intel Core i5-1135G7 ,14 Inch LED HD (1366 x 768) Touch ScreenNo ,8GB ,PCIe NVMe M.2 SSD 512GB ,Intel Iris Xe Graphics Shared ,Fee DOS ,Silver 32.19 x 21.39 x 1.99 cm Starting at 1.38 kg 
HP Probook 450 G8 Core i5 11th Gen 512GB SSD 15.6 inch FHD Laptop,"92,524৳",Intel Core i5-1135G7 ,15.6 inch LED FHD (1920 x 1080) Touch ScreenNo ,8GB ,PCIe NVMe M.2 SSD 512GB ,Intel Iris Xe Graphics Shared ,Windows 11 ,Silver 35.94 x 23.67 x 1.98 cm  1.74 kg 
"HP ProBook 440 G8 Core i5 11th Gen 14"" FHD Laptop","94,400৳",Intel Core i5-1135G7 ,14 Inch LED  FHD (1920 x 1080) Touch ScreenNo ,8GB ,PCIe NVMe M.2 SSD 512GB ,Intel Iris Xe Graphics Shared ,Windows 10 Home ,Silver 32.19 x 21.39 x 1.99 cm Starting at 1.38 kg 
"HP ProBook 455 G9 Ryzen 5 5625U 15.6"" FHD Laptop","95,500৳",AMD Ryzen 5 5625U ,15.6 Inch IPS FHD (1920x1080) Touch ScreenNo ,8GB ,PCIe NVMe SSD 512GB ,AMD Radeon Graphics Shared ,Windows 11 Home ,Silver 14.14 x 9.2 x 0.78 in Starting at 3.83 lb 
"HP 15s-du3520TX Core i7 11th Gen MX450 2GB Graphics 15.6"" FHD Laptop","108,000৳",Intel Core i7-1165G7 ,15.6 Inch IPS FHD (1920 x 1080) Touch ScreenNo ,8GB ,PCIe NVMe M.2 SSD 512GB ,NVIDIA GeForce MX450 2 GB ,Windows 11 Home ,Silver 35.85 x 24.2 x 1.99 cm 1.75 kg 
"HP ProBook 440 G8 Core i7 11th Gen 14"" FHD Laptop With Windows 10 Pro","119,900৳",Intel Core i7-1165G7 ,14 Inch IPS FHD (1920 x 1080) Touch ScreenNo ,8GB ,PCIe NVMe M.2 SSD 512 GB ,Intel Iris Xe Graphics Shared ,Windows 10 Pro ,Silver 32.19 x 21.39 x 1.99 cm 1.38 kg 
"HP EliteBook 840 G8 Core i7 11th Gen 16GB RAM, 512GB SSD 14"" FHD Laptop","173,600৳",Intel Core i7 1165G7 ,14-inch FHD IPS LED Display 1920x1080 (WxH) FHD Display FeaturesAnti-Glare ,16GB ,SSD 512GB ,Intel Iris Xe Graphics Integrated ,Windows 10 Pro ,Silver 12.73 x 8.44 x 0.7 in 1.32 Kg 
"HP OMEN 16-c0456AX Ryzen 9 5900H RTX 3070 8GB Graphics 16.1"" FHD Gaming Laptop","259,900৳",AMD Ryzen 9 5900H ,16.1 Inch IPS  FHD (1920 x 1080) Touch ScreenNo ,16GB(2X8GB) ,PCIe NVMe TLC M.2 SSD 1TB ,NVIDIA GeForce RTX 3070 8 GB ,Windows 11 Home ,Mica Silver 36.92 x 24.8 x 2.3 cm Starting at 2.3 kg 
