Name,Price,Cpu,ScreenResolution,Ram,Memory,Gpu,OpSys,Weight,Inch
Apple MacBook Air Late 2020 Apple M1 Chip 13.3 Inch Retina Display Space Gray MacBook MacBook #MGN63LL/A / MGN63ZP/A / MGN63PA/A / MGN63X/A,122060  bdt,Apple Apple M1 Not Applicable Apple M1 Chip Not Applicable Not Applicable 8 Not Applicable Not Applicable Not Applicable ,"13.3 Retina QHD 2560x1600 Glossy No 60 Hz Slim Bezel Maximum Brightness: 400 cd/m2, Color Gamut: 100% DCI-P3 No Secondary Screen No Secondary Screen No Secondary Screen ",8GB,256GB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 7-core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ",1.29kg,15.232530120481924
Acer TravelMate TMB 311-31-C3CD 11.6 inch HD Display Intel Celeron N4020 4GB RAM 256GB SSD Laptop,nan bdt,"Intel Celeron N4020 Processor (4M Cache, 1.10 GHz up to 2.80 GHz)","11.6"" HD (1366 x 768) Display",4GB,256GB NVMe SSD,Intel UHD Graphics 600,LINUX,1.40 kg,15.232530120481924
"ASUS ZenBook 14X UX5401EA Core i5 11th Gen 14"" 2.8K OLED Touch Laptop",130900  bdt,Intel Core i5-1135G7 ,14 inch OLED 2.8K (2880X1800) Touch ScreenYes ,8GB,M.2 NVMe PCIe 3.0 G4 SSD 512GB ,Intel Iris Xe Graphics Shared ,Windows 10 ,1.4 kg,15.232530120481927
Apple Macbook Pro M2 (MNEH3) 13.3 inch Retina display M2 chip 8GB RAM 256GB SSD Laptop (Space Grey),162000  bdt,"Apple M2 chip 
8-core CPU with 4 performance cores and 4 efficiency cores 
10-core GPU","Retina display 
13.3-inch (diagonal) LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 
500 nits brightness 
The wide color (P3) 
True Tone technology ",8GB,256GB SSD,"10-core GPU 
16-core Neural Engine 
100GB/s memory bandwidth ",macOS,1.4 kg,13.3
Lenovo IdeaPad Flex 5 14ARE05 14 inch Full HD Touch Display Ryzen 7 4700U 8GB RAM 512GB SSD Multi-Touch 2-In-1 Laptop (3 years Warranty),91000  bdt,"AMD Ryzen 7 4700U(8C/8T,2.0GHz Upto 4.1GHz,L2-4MB/L3-8MB)","14"" FHD (1920x1080) IPS 250nits Glossy-45% NTSC,10 Point Multi Touch",8GB,512GB M.2 2242 PCIe NVMe SSD,Integrated AMD Radeon Graphics,Windows 10 Home,1.5 kg,15.232530120481924
Asus VivoBook Pro 15 K3500PH 15.6 inch Full HD Display Core i5 11th Gen 16GB RAM 512GB SSD Gaming Laptop with GTX 1650 Max Q 4GB Graphics,119000  bdt,"Intel Core i5-11300H Processor 3.1 GHz (8M Cache, up to 4.4 GHz, 4 cores)","15.6-inch, 400nits FHD (1920 x 1080) 16:9 aspect ratio Anti-glare display 100% sRGB color gamut",16GB,512GBM.2 NVMe PCIe 3.0 SSD,"Intel Iris Xe Graphics 
NVIDIA GeForce GTX 1650 MAXQ,4GB GDDR6 GPU",Windows 10 64-Bit,1.73,15.6
Asus VivoBook 15 K513EQ Intel Core i5 1135G7 15.6 Inch FHD WV Display Hearty Gold Laptop #BN723W-K513EQ,121520  bdt,Intel Core i5 11th (Intel) Core i5 1135G7 2.40GHz 4.20GHz 4 8 8MB Not Specified ,"15.6 FHD Full HD 1920x1080 Anti-Glare No Not Specified Slim Bezel WV Display, Aspect Ratio: 16:9, Backlit: LED Backlit, IPS-level: IPS-level Panel, Brightness: 300nits, Color gamut: 100% sRGB color gamut, Screen-to-body ratio: 85 % No Secondary Screen No Secondary Screen No Secondary Screen ",8GB,512GB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Be Upgradeable ,Nvidia MX350 Graphics Dedicated 2GB GDDR5 ,Win-11 Home MyASUS Not Specified ,1.80 kg,15.232530120481924
Asus VivoBook 15 X513EP 15.6 Inch Full HD Display Core i5 11th Gen 8GB RAM 512GB SSD laptop With MX330 2GB Graphics,84000  bdt,"Intel Core i5-1135G7 Processor (8M Cache, 2.40 GHz up to 4.20 GHz)","15.6"" (16:9) LED-backlit FHD (1920x1080) 60Hz Anti-Glare Panel with 45% NTSC with wide 178° viewing angles",8 GB,512GB PCIe SSD (Extra HDD slot available),Nvidia MX330 2GB GDDR5,Windows 11 64-bit,1.7 kg,15.232530120481924
"Dell Inspiron 15 3525 Ryzen 7 5825U 15.6"" FHD Laptop",91730  bdt,AMD Ryzen 7 5825U ,15.6 inch  FHD (1920 x 1080) Touch ScreenNo Refresh Rate120Hz ,8GB,M.2 PCIe NVMe SSD 512GB ,AMD Radeon Graphics Shared ,Windows 11 Home ,1.68 kg,15.6
HP 14s-dq4458TU Intel Core i5 1155G7 14 Inch FHD Display Pale Gold Laptop #605T5PA-2Y,83550  bdt,Intel Core i5 11th (Intel) Core i5 1155G7 2.50 GHz 4.50 GHz 4 8 8MB Intel Integrated SoC ,"14 FHD IPS LED Display Full HD 1920x1080 Not Specified No Not Specified Narrow Border Slim IPS, micro-edge, BrightView, 250 nits, 45% NTSC No Secondary Screen No Secondary Screen No Secondary Screen ",8GB,512GB SSD No HDD No HDD Not Specified NVMe PCIe Not Specified Not Specified ,Intel Iris X Graphics Integrated Shared Not Specified ,Win-11 Home Not Specified Microsoft Office ,1.46 kg,15.232530120481924
"Asus VivoBook 15 K513EQ Core i7 11th Gen 15.6"" FHD Laptop with Windows 11",119940  bdt,Intel Core i7-1165G7 ,15.6 Inch IPS  FHD (1920X1080) Touch ScreenNo ,8GB,PCIe Gen3 x2 M.2 SSD 512GB ,NVIDIA GeForce MX350 2GB ,Windows 11 ,1.80 kg,15.6
Lenovo Yoga Slim 7i Carbon 13ITL5 Intel Core i7 1165G7 13.3 Inch QHD WQXGA IPS Display Moon White Laptop #82EV008KIN-3Y,190960  bdt,Intel Core i7 11th (Intel) Core i7 1165G7 2.80GHz 4.70GHz 4 8 12MB Intel SoC Platform ,"13.3 QHD WQXGA IPS Display QHD 2560x1600 Anti-glare No Not Specified Slim Bazel 300nits Anti-glare, 100% sRGB, Dolby Vision Not Applicable Not Applicable Not Applicable ",16GB,1TB SSD Not Applicable Not Applicable No NVMe PCIe No Installed SSD Can Not Be Replaced ,Intel Iris Xe Graphics Integrated Shared Not Applicable ,Win-11 Home Not Specified Microsoft Office ,0.966 kg,15.232530120481924
Asus ROG Strix G17 G713RM AMD Ryzen 7 6800H 17.3 Inch FHD WV Display Eclipse Gray Gaming Laptop #KH157W-G713RM,249550  bdt,AMD Ryzen 7 Not Applicable Ryzen 7 6800H 3.20 GHz 4.70 GHz 8 16 20MB Not Specified ,"17.3 FHD IPS LED Display Full HD 1920x1080 Anti-Glare No 360 Hz Slim-Bezel Response Time (G2G): 3ms, Viewing Angle: 170 Degree, Brightness: 300nits, Contrast: 1:1000, Color Gamut: NTSC 72%, SRGB 100%, Adobe: 75.35%. Adaptive-Sync technology, Support Dolby Vision HDR, WV Display No Secondary Screen No Secondary Screen No Secondary Screen ",16GB,512GB SSD No HDD No HDD Not Specified NVMe PCIe 1 Installed SSD can be upgradeable ,Nvidia RTX 3060 Graphics Dedicated 6GB GDDR6 ,"Win-11 Home Built-in Apps: McAfee, MyASUS, ScreenXpert Not Specified ",2.90 kg,15.232530120481924
Acer Predator Helios 300 PH315 53 70PF Intel Core i7 10870H 15.6 Inch FHD Display Abyssal Black Gaming Laptop,233280  bdt,Intel Core i7 10th (Intel) Core i7 10870H 2.20 GHz 5.00 GHz 8 16 16MB Intel HM470 ,"15.6 FHD Full HD 1920x1080 Anti-Glare No 144 Hz Narrow Bezel Display Screen Technology: ComfyView, Display Screen Technology: IPS, Aspect Ratio: 16:9, HDCP: Yes No Secondary Screen No Secondary Screen No Secondary Screen ",16GB,1TB SSD No HDD No HDD Not Specified NVMe PCIe Not Specified Not Specified ,Nvidia RTX 3070 Graphics Dedicated 8GB GDDR6 ,Win-10 Home No Not Specified ,2.50kg,15.232530120481924
Acer Nitro 5 AN515-55 15.6 inch FHD 144Hz Display Core i5 10th Gen 8GB Ram 256GB SSD 1TB HDD Laptop with RTX 2060 6GB Graphics Gaming Laptop,nan bdt,"Intel Core i5-10300H processor (8 MB Smart Cache, 2.5 GHz with Turbo Boost up to 4.5 GHz, DDR4)","15.6"" 144Hz display with IPS (In-Plane Switching) technology, Full HD 1920 x 1080, Acer ComfyViewTM LED-backlit TFT LCD",8GB,256GB M.2 PCIE NVMe SSD & 1TB HDD (Supports Up to 4TB HDD Storage),NVIDIA RTX 2060 6GB GDDR6 Memory,Windows 10 Original,1.73,15.232530120481924
"ASUS ROG Strix G15 G513RM Ryzen 7 6800H RTX 3060 6GB Graphics 15.6"" FHD Gaming Laptop",232780  bdt,AMD Ryzen 7 6800H ,15.6-inch IPS  FHD (1920 x 1080) Touch ScreenNo ,16GB,M.2 NVME PCIE 4.0 SSD 512GB ,NVIDIA GeForce RTX 3060 6GB ,Windows 11 Home ,2.3kg,15.6
Walton Prelude N41 13.3-Inch FHD Display intel Celeron N4100 4GB RAM 256GB SSD Laptop,nan bdt,"Intel® Gemini Lake Quad Core Processor
• Intel N4100 1.1GHz up to 2.40GHz","33.782cm (13.3”) FHD (1920x1080) Matte LCD
Panel with 45% NTSC",4GB,256GB SATAIII M.2 2280 SSD (SSD Upgradable),Intel UHD Graphics 600,Windows 10,1.65kg,15.232530120481924
Apple MacBook Pro 16-Inch M1 Pro Chip 32GB RAM 1TB SSD Space Gray (Z14W00105),412500  bdt,Apple M1 Max Pro ,16.2-inch Liquid Retina XDR Display 3456 x 2234 Touch ScreenNo ,32GB,SSD 1TB ,Apple 16-Core GPU Shared ,macOS ,2.1 kg,16.2
"Apple MacBook Pro (Late 2021) Apple M1 Pro Chip 1TB SSD 14.2 Inch Liquid Retina XDR Display Silver Laptop #MKGT3LL/A, MKGT3ZP/A, MKGT3PA/A",308140  bdt,Apple Apple M1 Not Applicable Apple M1 Pro Not Applicable Not Applicable 10 Not Applicable Not Applicable Not Applicable ,"14.2 Liquid Retina XDR Display 4K UHD 3024x1964 Glossy with Antireflective Coating No 120 Hz Slim Bezel Aspect Ratio: 16:10, Finish: Glossy with Anti-Reflective Coating, Maximum Brightness: 500 cd/m2 (Sustained in SDR Mode) 1000 cd/m2 (Sustained in HDR Mode) 1600 cd/m2 (Peak in HDR Mode), Contrast Ratio: 1,000,000:1, Variable Refresh Technology: Apple ProMotion Not Applicable Not Applicable Not Applicable ",16GB,1TB SSD Not Applicable Not Applicable No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 16-core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ",1.6 kg,15.232530120481924
MSI GF63 Thin 11SC Intel Core i5 11400H 15.6 Inch FHD Display Black Gaming Laptop #9S7-16R612-806,104160  bdt,Intel Core i5 11th (Intel) Core i5 11400H 2.70 GHz 4.50 GHz 6 12 12MB Intel HM570 ,"15.6 FHD IPS LED Display Full HD 1920x1080 Not Specified No 144 Hz Thin Bezel Aspect Ratio: 16:9, IPS-Level No Secondary Screen No Secondary Screen No Secondary Screen ",8GB,"512GB SSD No HDD No HDD Not Specified NVMe PCIe No Additional HDD Can be added, SSD can be replaced ",Nvidia GTX 1650 Max-Q Dedicated 4GB GDDR6 ,Win-11 Home Not Specified Not Specified ,1.86 kg,15.232530120481924
HP 15S-fq5487TU 15.6 INCH FULL HD DISPLAY INTEL CORE I3 12TH GEN 8GB RAM 256GB LAPTOP,63500  bdt,"Intel Core i3-1215U Processor (10M Cache, 3.30 GHz, up to 4.40 GHz)","15.6"" diagonal, FHD (1920 x 1080), IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",8 GB,256 GB PCIe NVMe M.2 SSD,Intel UHD Graphics,Windows 10 64bit,1.47 kg,15.232530120481924
